Nickname,Profit
lapatinszki,619.78
lapatinszki20,619.78
I am the winner,619.78
Szóló,619.78
BigDick,615.69
NONONO,594.79
Ehh,586.82
Feleseged,564.62
RePeta,547.7
HKD Igor fosul,531.91
L.Zoli,527.57
Suckmydick,522.9
lapatinszki23,509.29
Dhdjd,495.57
Hcjducndjcj,483.15
QuickBrownFox,472.55
Frissít?,470.82
lapatinszki17,465.99
dasdads vyxydcax,463.46
Lapat,460.74
ST,449.04
GOGOGO,449.04
RemélemMárAlszolZoli,449.04
Ilma,442.89
lapatinszki27,435.15
Almafa,410.06
Banánka,410.06
True; DROP DATABASE  2,406.09
Telefon,403.41
Rajz-gép,400.91
Rajz-telefon,400.91
Próba-telefon,392.13
Próba-Gép,392.13
NeAludjMégZoli,388.07
Tomika,387.71
Párhuzamos_gép,383.32
Párhuzamos_telefon,383.32
lapatinszki26,382.75
lapatonszki13,372.96
Körte banán mában ,367.26
K8ng,362.94
sziaszoli,361.6
lapatinszki4,356.63
lapatonszki6,356.63
True; DROP DATABASE ,352.09
lapatinszki8,349.46
Masni,346.25
Almadfcalsidnfoma,346.25
Masni2,309.31
Teszt0002,303.81
Muhaha,300.88
lapatinszki16,297.55
Zzzz,284.95
Teszt001,283.21
lapatinszki7,274.69
ReinfriedTest,268.13
Ggdjcirnckdkd,266.33
dasdaLapatinszki,260.62
Toll-telefon,256.43
KKKKKKKK,246.37
Pppppoo,246.37
Jojojojoj,245.1
ES,242.79
Istvan,241.21
MiEzANév,222.45
Toll-gép,196.28
Sanyi,189.09
BanánKorte,179.5
KisKacsa,174.15
IREGFDCNLMKDX,170.29
pd,132.23
Test,105.45
fhfdshdfghfgdjfgh,73.13
Blabla,45.42
sdf,17.39
TesztelunkZolival,-19.91
Dddd,-37.48
JóEstétZoli,-37.48
Pityesz,-464.04
11korEbéd?,-515.81
HelloZoli,-891.11
Leo,-2317.59
Hooooooooo,-2762.67
S,-2921.4
Céges,-2968.41
lapatinszkiTESZT200,-6295.62
UjabbTeszt,-7563.87
Sajt-gép,-8607.8
Proba,-9222.57
User,-9222.57
asd,-9222.57
Bananfafa,-9222.57
Hópehely,-9222.57
lapatinszki5,-9222.57
Bàlna,-9222.57
Almaarok,-9222.57
Pók,-9222.57
Tulipán,-9222.57
PróbqMost,-9222.57
Ffggg,-9222.57
Ggggggg,-9222.57
Körtefa,-9222.57
dasfasdfas,-9222.57
True; DROP DATABASE 3,-9222.57
lapatinszkiTESZT001,-9222.57
Hallgatás001,-9222.57
asdas,-9222.57
Hallgatás002,-9222.57
Oooooo,-9222.57
AlmaAAAAAA,-9222.57
lapatinszkiTESZT002,-9222.57
Gantant,-9222.57
lapatinszkiTESZT100,-9222.57
Kóla,-9442.5
Sajt-telefon,-10218.82
SzóljHaTeszteljekZoli,-10363.88
sfa swsd,-11491.01
