Experiment,Size of the batches,Type of the shipping box,Cycle time factor,Number of the operators,Type of the quality check,Percentage of the quality check,Overshooting,Elapsed time,Used rods,Used raw bases,Used pins,Outcome - All,Outcome - OK,Outcome - NOK,Used retail boxes,Used shipper boxes,Used pallets,Reached the required amount,Difference from the required - OK,Difference from the required - All,Used electricity - T100,Used electricity - T200,Used electricity - T800,Income,Outgo,Profit,Machine T100 - Waiting for MU,Machine T100 - Processing,Machine T100 - Failed,Machine T100 - Setting up,Machine T200 - Waiting for MU,Machine T200 - Processing,Machine T200 - Failed,Machine T200 - Setting up,Machine T800 - Waiting for MU,Machine T800 - Processing,Machine T800 - Failed,Machine T800 - Setting up,Operator 01 - Waiting for job,Operator 01 - On the way,Operator 01 - Processing,Operator 01 - Repairing,Operator 01 - Setting up,Operator 01 - Inspectioning,Operator 02 - Waiting for job,Operator 02 - On the way,Operator 02 - Processing,Operator 02 - Repairing,Operator 02 - Setting up,Operator 02 - Inspectioning,Operator 03 - Waiting for job,Operator 03 - On the way,Operator 03 - Processing,Operator 03 - Repairing,Operator 03 - Setting up,Operator 03 - Inspectioning,Robot 01 - Free,Robot 01 - Moving,Robot 01 - Waiting during task,Robot 01 - Processing,Robot 01 - Exchanging,Robot 01 - Taking down,Robot 01 - Picking up,Robot 02 - Free,Robot 02 - Moving,Robot 02 - Waiting during task,Robot 02 - Processing,Robot 02 - Exchanging,Robot 02 - Taking down,Robot 02 - Picking up
Exp 0810,1,2,-0.2,2,2,0.8,0.1,10:26:32,413,1100,3300,1028,1013,15,1028,43,3,1,13,28,52.43,42.39,58.89,4913.84,4497.11,416.73,11957.405,22880.000,2722.595,0.000,10593.742,18496.000,2290.258,6180.000,9508.258,25698.600,2353.142,0.000,7679.291,8642.132,4285.000,2808.377,2100.000,12045.200,12195.120,6852.361,3912.000,2666.319,4080.000,7854.200,0.000,0.000,0.000,0.000,0.000,0.000,12888.000,16448.000,0.000,0.000,0.000,4112.000,4112.000,36335.471,972.529,0.000,0.000,0.000,126.000,126.000
Exp 0954,1,2,-0.1,2,2,0.8,0.1,10:50:47,413,1100,3300,1026,1019,7,1026,43,3,1,19,26,55.41,44.80,62.07,4904.28,4487.65,416.63,11040.989,25740.000,2219.011,0.000,10267.564,20808.000,1744.436,6180.000,8289.632,28834.200,1876.168,0.000,9285.004,8684.547,4435.000,2442.649,2070.000,12082.800,14602.722,6484.931,3770.000,2262.347,4110.000,7770.000,0.000,0.000,0.000,0.000,0.000,0.000,14384.702,16410.000,0.000,0.000,0.000,4103.298,4102.000,37782.000,966.000,0.000,0.000,0.000,126.000,126.000
Exp 3830,2,3,-0.1,2,2,0.6,0.1,09:15:44,414,1100,3300,1045,1012,33,1045,35,5,1,12,45,55.41,44.92,60.97,4995.10,4578.75,416.35,5462.783,25740.000,2097.217,0.000,8605.522,20865.600,1773.878,2055.000,3140.932,28320.600,1838.468,0.000,12134.349,4820.067,2751.000,2516.984,480.000,10597.600,19543.598,3221.180,2523.000,2212.422,1575.000,4224.800,0.000,0.000,0.000,0.000,0.000,0.000,8225.793,16716.207,0.000,0.000,0.000,4180.000,4178.000,32314.000,782.000,0.000,0.000,0.000,102.000,102.000
Exp 6067,3,3,0.0,1,1,0.8,0.2,11:07:55,450,1200,3600,1095,1074,21,1095,37,5,1,74,95,62.83,50.75,71.67,5234.10,4817.79,416.31,6981.978,31200.000,1838.022,0.000,12077.358,25200.000,1407.642,1335.000,2741.244,35589.000,1689.756,0.000,22635.933,6897.094,5086.000,4065.973,1335.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13756.660,17509.340,0.000,0.000,0.000,4378.000,4376.000,38976.000,828.000,0.000,0.000,0.000,108.000,108.000
Exp 0654,1,1,0.2,2,2,0.2,0.1,11:05:47,413,1100,3300,1084,1047,37,1084,61,3,1,47,84,65.78,53.18,69.24,5181.52,4765.34,416.18,5511.503,34320.000,68.497,0.000,5760.142,27744.000,215.858,6180.000,3546.830,36123.600,229.570,0.000,21245.163,8907.137,4593.000,365.100,780.000,4009.600,26241.358,3673.039,3604.000,34.603,5400.000,947.000,0.000,0.000,0.000,0.000,0.000,0.000,13892.206,17338.000,0.000,0.000,0.000,4335.794,4334.000,38160.000,1380.000,0.000,0.000,0.000,180.000,180.000
Exp 5414,3,2,0.0,2,2,0.6,0.1,09:39:50,415,1100,3300,1034,1007,27,1034,44,3,1,7,34,57.60,46.72,62.01,4942.52,4526.82,415.70,4472.783,28600.000,1667.217,0.000,8864.753,23200.000,1445.247,1230.000,2494.500,30792.000,1453.500,0.000,14834.031,3572.737,2542.000,2222.232,285.000,11284.000,23625.887,2692.484,2165.000,1674.029,945.000,3637.600,0.000,0.000,0.000,0.000,0.000,0.000,9935.455,16536.545,0.000,0.000,0.000,4134.000,4134.000,33493.000,989.000,0.000,0.000,0.000,129.000,129.000
Exp 2463,2,1,0.0,1,1,0.6,0.2,11:27:51,450,1200,3600,1127,1082,45,1127,63,3,1,82,127,62.83,50.75,70.13,5387.06,4971.51,415.55,8090.490,31200.000,1929.510,0.000,12333.232,25200.000,1451.768,2235.000,4616.858,34824.000,1779.142,0.000,20084.935,9092.092,5742.000,4065.973,2235.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14184.002,18023.998,0.000,0.000,0.000,4506.000,4506.000,39422.000,1426.000,0.000,0.000,0.000,186.000,186.000
Exp 6063,3,3,0.0,1,1,0.6,0.2,10:58:08,450,1200,3600,1119,1078,41,1119,38,5,1,78,119,62.83,50.75,70.16,5348.82,4933.40,415.42,6508.305,31200.000,1771.695,0.000,11633.898,25200.000,1311.102,1335.000,2850.071,34839.000,1790.929,0.000,22010.650,6966.377,5102.000,4065.973,1335.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12624.000,17904.000,0.000,0.000,0.000,4476.000,4476.000,38378.000,874.000,0.000,0.000,0.000,114.000,114.000
Exp 0642,1,1,0.2,2,1,0.8,0.1,11:43:25,413,1100,3300,1059,1049,10,1059,59,3,1,49,59,65.78,53.18,73.28,5062.02,4646.78,415.24,7794.529,34320.000,65.471,0.000,8037.920,27744.000,218.080,6180.000,3716.525,38234.400,229.075,0.000,26967.951,9479.346,4703.000,399.703,630.000,0.000,30002.079,3141.921,3486.000,0.000,5550.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16764.000,16944.000,0.000,0.000,0.000,4236.000,4236.000,40484.892,1344.108,0.000,0.000,0.000,177.000,174.000
Exp 2467,2,1,0.0,1,1,0.8,0.2,11:36:20,450,1200,3600,1101,1077,24,1101,62,3,1,77,101,62.83,50.75,71.65,5262.78,4847.56,415.22,8649.265,31200.000,1910.735,0.000,12877.056,25200.000,1447.944,2235.000,4369.047,35580.000,1810.953,0.000,20605.056,9111.971,5742.000,4065.973,2235.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15336.000,17616.000,0.000,0.000,0.000,4404.000,4404.000,39972.767,1418.233,0.000,0.000,0.000,186.000,183.000
