Experiment,Size of the batches,Type of the shipping box,Cycle time factor,Number of the operators,Type of the quality check,Percentage of the quality check,Overshooting,Elapsed time,Used rods,Used raw bases,Used pins,Outcome - All,Outcome - OK,Outcome - NOK,Used retail boxes,Used shipper boxes,Used pallets,Reached the required amount,Difference from the required - OK,Difference from the required - All,Used electricity - T100,Used electricity - T200,Used electricity - T800,Income,Outgo,Profit,Machine T100 - Waiting for MU,Machine T100 - Processing,Machine T100 - Failed,Machine T100 - Setting up,Machine T200 - Waiting for MU,Machine T200 - Processing,Machine T200 - Failed,Machine T200 - Setting up,Machine T800 - Waiting for MU,Machine T800 - Processing,Machine T800 - Failed,Machine T800 - Setting up,Operator 01 - Waiting for job,Operator 01 - On the way,Operator 01 - Processing,Operator 01 - Repairing,Operator 01 - Setting up,Operator 01 - Inspectioning,Operator 02 - Waiting for job,Operator 02 - On the way,Operator 02 - Processing,Operator 02 - Repairing,Operator 02 - Setting up,Operator 02 - Inspectioning,Operator 03 - Waiting for job,Operator 03 - On the way,Operator 03 - Processing,Operator 03 - Repairing,Operator 03 - Setting up,Operator 03 - Inspectioning,Robot 01 - Free,Robot 01 - Moving,Robot 01 - Waiting during task,Robot 01 - Processing,Robot 01 - Exchanging,Robot 01 - Taking down,Robot 01 - Picking up,Robot 02 - Free,Robot 02 - Moving,Robot 02 - Waiting during task,Robot 02 - Processing,Robot 02 - Exchanging,Robot 02 - Taking down,Robot 02 - Picking up
Exp 3462,2,2,0.2,1,1,0.2,0.1,10:59:50,414,1100,3300,1094,1058,36,1094,46,3,1,58,94,65.78,53.32,69.55,5229.32,4609.54,619.78,5163.289,34320.000,56.711,0.000,9434.128,27820.800,230.072,2055.000,2933.341,36285.000,321.659,0.000,23938.130,7865.167,5282.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13295.859,17496.141,0.000,0.000,0.000,4374.000,4374.000,38235.000,1035.000,0.000,0.000,0.000,135.000,135.000
Exp 3466,2,2,0.2,1,1,0.4,0.1,11:07:09,414,1100,3300,1074,1054,20,1074,45,3,1,54,74,65.78,53.32,71.01,5133.72,4514.35,619.37,5643.289,34320.000,56.711,0.000,9913.355,27820.800,230.845,2055.000,2590.399,37047.000,382.601,0.000,24526.682,7764.615,5274.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14244.000,17184.000,0.000,0.000,0.000,4296.000,4296.000,38715.000,1035.000,0.000,0.000,0.000,135.000,135.000
Exp 3458,2,2,0.2,1,1,0.0,0.1,10:58:41,414,1100,3300,1100,1058,42,1100,46,3,1,58,100,65.78,53.32,68.31,5258.00,4640.35,617.65,5103.289,34320.000,56.711,0.000,9403.743,27820.800,200.457,2055.000,3482.530,35640.000,357.470,0.000,23898.832,7844.465,5282.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13082.701,17598.000,0.000,0.000,0.000,4400.000,4399.299,38175.000,1035.000,0.000,0.000,0.000,135.000,135.000
Exp 3478,2,2,0.2,1,1,1.0,0.1,11:40:21,414,1100,3300,1052,1052,0,1052,44,3,1,52,52,65.78,53.32,74.91,5028.56,4411.33,617.23,7623.289,34320.000,56.711,0.000,11928.412,27820.800,195.788,2055.000,2647.881,39084.000,268.119,0.000,26672.431,7614.866,5258.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16752.000,16832.000,0.000,0.000,0.000,4208.000,4208.000,40735.219,1003.781,0.000,0.000,0.000,132.000,129.000
Exp 3470,2,2,0.2,1,1,0.6,0.1,11:16:55,414,1100,3300,1076,1054,22,1076,45,3,1,54,76,65.78,53.32,72.15,5143.28,4527.59,615.69,6183.289,34320.000,56.711,0.000,10487.420,27820.800,196.780,2055.000,2560.417,37641.000,358.583,0.000,25211.635,7635.662,5258.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14752.282,17205.718,0.000,0.000,0.000,4302.000,4300.000,39284.000,1012.000,0.000,0.000,0.000,132.000,132.000
Exp 3474,2,2,0.2,1,1,0.8,0.1,11:27:45,414,1100,3300,1057,1049,8,1057,45,3,1,49,57,65.78,53.32,73.66,5052.46,4442.41,610.05,6843.289,34320.000,56.711,0.000,11158.066,27820.800,186.134,2055.000,2540.862,38430.000,249.138,0.000,25916.909,7590.388,5258.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15858.937,16907.063,0.000,0.000,0.000,4228.000,4226.000,39944.537,1011.463,0.000,0.000,0.000,132.000,132.000
Exp 2742,2,1,0.2,1,1,0.2,0.1,10:59:50,414,1100,3300,1094,1058,36,1094,61,3,1,58,94,65.78,53.32,69.55,5229.32,4626.67,602.65,5163.289,34320.000,56.711,0.000,9434.128,27820.800,230.072,2055.000,2933.341,36285.000,321.659,0.000,23938.130,7865.167,5282.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13295.859,17496.141,0.000,0.000,0.000,4374.000,4374.000,37800.000,1380.000,0.000,0.000,0.000,180.000,180.000
Exp 2746,2,1,0.2,1,1,0.4,0.1,11:07:09,414,1100,3300,1074,1054,20,1074,60,3,1,54,74,65.78,53.32,71.01,5133.72,4531.60,602.12,5643.289,34320.000,56.711,0.000,9913.355,27820.800,230.845,2055.000,2590.399,37047.000,382.601,0.000,24526.682,7764.615,5274.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14244.000,17184.000,0.000,0.000,0.000,4296.000,4296.000,38280.000,1380.000,0.000,0.000,0.000,180.000,180.000
Exp 3482,2,2,0.2,1,2,0.0,0.1,10:58:41,414,1100,3300,1100,1051,49,1100,46,3,1,51,100,65.78,53.32,68.31,5258.00,4656.10,601.90,5103.289,34320.000,56.711,0.000,9403.743,27820.800,200.457,2055.000,3482.530,35640.000,357.470,0.000,23898.832,7844.465,5282.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13082.701,17598.000,0.000,0.000,0.000,4400.000,4399.299,38175.000,1035.000,0.000,0.000,0.000,135.000,135.000
Exp 2758,2,1,0.2,1,1,1.0,0.1,11:40:21,414,1100,3300,1052,1052,0,1052,59,3,1,52,52,65.78,53.32,74.91,5028.56,4428.70,599.86,7623.289,34320.000,56.711,0.000,11928.412,27820.800,195.788,2055.000,2647.881,39084.000,268.119,0.000,26672.431,7614.866,5258.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16752.000,16832.000,0.000,0.000,0.000,4208.000,4208.000,40300.219,1348.781,0.000,0.000,0.000,177.000,174.000
Exp 4182,2,3,0.2,1,1,0.2,0.1,10:59:50,414,1100,3300,1094,1058,36,1094,37,5,1,58,94,65.78,53.32,69.55,5229.32,4630.20,599.12,5163.289,34320.000,56.711,0.000,9434.128,27820.800,230.072,2055.000,2933.341,36285.000,321.659,0.000,23938.130,7865.167,5282.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13295.859,17496.141,0.000,0.000,0.000,4374.000,4374.000,38496.000,828.000,0.000,0.000,0.000,108.000,108.000
Exp 2738,2,1,0.2,1,1,0.0,0.1,10:58:41,414,1100,3300,1100,1058,42,1100,62,3,1,58,100,65.78,53.32,68.31,5258.00,4658.99,599.01,5103.289,34320.000,56.711,0.000,9403.743,27820.800,200.457,2055.000,3482.530,35640.000,357.470,0.000,23898.832,7844.465,5282.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13082.701,17598.000,0.000,0.000,0.000,4400.000,4399.299,37711.000,1403.000,0.000,0.000,0.000,183.000,183.000
Exp 4186,2,3,0.2,1,1,0.4,0.1,11:07:09,414,1100,3300,1074,1054,20,1074,36,5,1,54,74,65.78,53.32,71.01,5133.72,4534.92,598.80,5643.289,34320.000,56.711,0.000,9913.355,27820.800,230.845,2055.000,2590.399,37047.000,382.601,0.000,24526.682,7764.615,5274.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14244.000,17184.000,0.000,0.000,0.000,4296.000,4296.000,38976.000,828.000,0.000,0.000,0.000,108.000,108.000
Exp 2750,2,1,0.2,1,1,0.6,0.1,11:16:55,414,1100,3300,1076,1054,22,1076,60,3,1,54,76,65.78,53.32,72.15,5143.28,4544.84,598.44,6183.289,34320.000,56.711,0.000,10487.420,27820.800,196.780,2055.000,2560.417,37641.000,358.583,0.000,25211.635,7635.662,5258.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14752.282,17205.718,0.000,0.000,0.000,4302.000,4300.000,38849.000,1357.000,0.000,0.000,0.000,177.000,177.000
Exp 4178,2,3,0.2,1,1,0.0,0.1,10:58:41,414,1100,3300,1100,1058,42,1100,37,5,1,58,100,65.78,53.32,68.31,5258.00,4661.01,596.99,5103.289,34320.000,56.711,0.000,9403.743,27820.800,200.457,2055.000,3482.530,35640.000,357.470,0.000,23898.832,7844.465,5282.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13082.701,17598.000,0.000,0.000,0.000,4400.000,4399.299,38436.000,828.000,0.000,0.000,0.000,108.000,108.000
Exp 3490,2,2,0.2,1,2,0.4,0.1,13:23:18,414,1100,3300,1085,1062,23,1085,46,3,1,62,85,65.78,53.32,70.61,5186.30,4589.55,596.75,13669.197,34320.000,190.803,0.000,18118.066,27820.800,186.134,2055.000,11049.582,36841.800,288.618,0.000,22651.161,7903.736,5282.000,399.703,2055.000,9888.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22140.000,17360.000,0.000,0.000,0.000,4340.000,4340.000,46854.474,1052.526,0.000,0.000,0.000,138.000,135.000
Exp 4190,2,3,0.2,1,1,0.6,0.1,11:16:55,414,1100,3300,1076,1054,22,1076,36,5,1,54,76,65.78,53.32,72.15,5143.28,4548.16,595.12,6183.289,34320.000,56.711,0.000,10487.420,27820.800,196.780,2055.000,2560.417,37641.000,358.583,0.000,25211.635,7635.662,5258.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14752.282,17205.718,0.000,0.000,0.000,4302.000,4300.000,39545.000,805.000,0.000,0.000,0.000,105.000,105.000
Exp 4198,2,3,0.2,1,1,1.0,0.1,11:40:21,414,1100,3300,1052,1052,0,1052,36,5,1,52,52,65.78,53.32,74.91,5028.56,4433.53,595.03,7623.289,34320.000,56.711,0.000,11928.412,27820.800,195.788,2055.000,2647.881,39084.000,268.119,0.000,26672.431,7614.866,5258.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16752.000,16832.000,0.000,0.000,0.000,4208.000,4208.000,40967.219,819.781,0.000,0.000,0.000,108.000,105.000
Exp 3486,2,2,0.2,1,2,0.2,0.1,12:13:04,414,1100,3300,1084,1053,31,1084,46,3,1,53,84,65.78,53.32,69.66,5181.52,4586.73,594.79,9552.306,34320.000,107.694,0.000,13865.911,27820.800,238.289,2055.000,7344.305,36345.600,290.095,0.000,23516.813,7811.884,5282.000,399.703,2055.000,4914.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17964.000,17344.000,0.000,0.000,0.000,4336.000,4336.000,42646.000,1058.000,0.000,0.000,0.000,138.000,138.000
Exp 2754,2,1,0.2,1,1,0.8,0.1,11:27:45,414,1100,3300,1057,1049,8,1057,59,3,1,49,57,65.78,53.32,73.66,5052.46,4458.15,594.31,6843.289,34320.000,56.711,0.000,11158.066,27820.800,186.134,2055.000,2540.862,38430.000,249.138,0.000,25916.909,7590.388,5258.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15858.937,16907.063,0.000,0.000,0.000,4228.000,4226.000,39538.000,1334.000,0.000,0.000,0.000,174.000,174.000
Exp 5638,3,2,0.2,1,1,1.0,0.1,11:27:04,415,1100,3300,1037,1037,0,1037,44,3,1,37,37,65.78,53.36,73.53,4956.86,4364.26,592.60,6801.628,34320.000,98.372,0.000,11963.866,27840.000,186.134,1230.000,2632.051,38361.000,226.949,0.000,29206.771,5700.526,4683.000,399.703,1230.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16332.000,16592.000,0.000,0.000,0.000,4148.000,4148.000,39944.000,1012.000,0.000,0.000,0.000,132.000,132.000
Exp 4194,2,3,0.2,1,1,0.8,0.1,11:27:45,414,1100,3300,1057,1049,8,1057,36,5,1,49,57,65.78,53.32,73.66,5052.46,4462.98,589.48,6843.289,34320.000,56.711,0.000,11158.066,27820.800,186.134,2055.000,2540.862,38430.000,249.138,0.000,25916.909,7590.388,5258.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15858.937,16907.063,0.000,0.000,0.000,4228.000,4226.000,40205.000,805.000,0.000,0.000,0.000,105.000,105.000
Exp 3326,2,2,0.1,1,1,0.6,0.1,10:52:13,414,1100,3300,1056,1032,24,1056,44,3,1,32,56,61.17,49.59,67.54,5047.68,4460.86,586.82,6568.322,31460.000,1091.678,0.000,10636.042,25502.400,926.558,2055.000,3298.056,34734.000,1087.944,0.000,21278.793,8119.823,5282.000,2384.384,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13776.000,16896.000,0.000,0.000,0.000,4224.000,4224.000,37847.706,1008.294,0.000,0.000,0.000,132.000,132.000
Exp 5622,3,2,0.2,1,1,0.2,0.1,10:51:14,415,1100,3300,1071,1037,34,1071,45,3,1,37,71,65.78,53.36,68.34,5119.38,4533.64,585.74,4678.419,34320.000,61.581,0.000,9803.866,27840.000,186.134,1230.000,3133.081,35655.000,271.919,0.000,26949.066,5774.231,4707.000,399.703,1230.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13356.000,17136.000,0.000,0.000,0.000,4284.000,4284.000,37759.184,1031.000,0.000,0.000,0.000,135.000,134.816
Exp 5630,3,2,0.2,1,1,0.6,0.1,11:02:42,415,1100,3300,1060,1036,24,1060,45,3,1,36,60,65.78,53.36,70.91,5066.80,4481.84,584.96,5343.289,34320.000,56.711,0.000,10463.866,27840.000,186.134,1230.000,2465.982,36996.000,258.018,0.000,27597.112,5794.185,4699.000,399.703,1230.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14283.623,16958.000,0.000,0.000,0.000,4240.000,4238.377,38444.000,1012.000,0.000,0.000,0.000,132.000,132.000
Exp 5626,3,2,0.2,1,1,0.4,0.1,10:53:13,415,1100,3300,1055,1033,22,1055,44,3,1,33,55,65.78,53.36,69.75,5042.90,4458.06,584.84,4803.289,34320.000,56.711,0.000,9915.434,27840.000,194.566,1230.000,2547.755,36390.000,242.245,0.000,27103.260,5748.037,4699.000,399.703,1230.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13860.000,16880.000,0.000,0.000,0.000,4220.000,4220.000,37907.866,1008.134,0.000,0.000,0.000,132.000,132.000
Exp 1318,1,2,0.2,1,1,1.0,0.1,13:38:19,413,1100,3300,1049,1049,0,1049,44,3,1,49,49,65.78,53.18,74.63,5014.22,4430.26,583.96,14690.297,34320.000,69.703,0.000,14969.866,27744.000,186.134,6180.000,9809.399,38939.400,331.201,0.000,18488.509,15806.788,8205.000,399.703,6180.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23904.000,16784.000,0.000,0.000,0.000,4196.000,4196.000,47813.871,1005.129,0.000,0.000,0.000,132.000,129.000
Exp 2762,2,1,0.2,1,2,0.0,0.1,10:58:41,414,1100,3300,1100,1051,49,1100,62,3,1,51,100,65.78,53.32,68.31,5258.00,4674.74,583.26,5103.289,34320.000,56.711,0.000,9403.743,27820.800,200.457,2055.000,3482.530,35640.000,357.470,0.000,23898.832,7844.465,5282.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13082.701,17598.000,0.000,0.000,0.000,4400.000,4399.299,37711.000,1403.000,0.000,0.000,0.000,183.000,183.000
Exp 4202,2,3,0.2,1,2,0.0,0.1,10:58:41,414,1100,3300,1100,1051,49,1100,37,5,1,51,100,65.78,53.32,68.31,5258.00,4676.76,581.24,5103.289,34320.000,56.711,0.000,9403.743,27820.800,200.457,2055.000,3482.530,35640.000,357.470,0.000,23898.832,7844.465,5282.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13082.701,17598.000,0.000,0.000,0.000,4400.000,4399.299,38436.000,828.000,0.000,0.000,0.000,108.000,108.000
Exp 5618,3,2,0.2,1,1,0.0,0.1,10:51:21,415,1100,3300,1080,1036,44,1080,45,3,1,36,80,65.78,53.36,67.07,5162.40,4582.72,579.68,4683.289,34320.000,56.711,0.000,9803.866,27840.000,186.134,1230.000,3839.310,34992.000,228.690,0.000,26947.474,5775.823,4707.000,399.703,1230.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13140.000,17280.000,0.000,0.000,0.000,4320.000,4320.000,37766.118,1026.882,0.000,0.000,0.000,135.000,132.000
Exp 2770,2,1,0.2,1,2,0.4,0.1,13:23:18,414,1100,3300,1085,1062,23,1085,61,3,1,62,85,65.78,53.32,70.61,5186.30,4606.68,579.62,13669.197,34320.000,190.803,0.000,18118.066,27820.800,186.134,2055.000,11049.582,36841.800,288.618,0.000,22651.161,7903.736,5282.000,399.703,2055.000,9888.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22140.000,17360.000,0.000,0.000,0.000,4340.000,4340.000,46419.474,1397.526,0.000,0.000,0.000,183.000,180.000
Exp 1314,1,2,0.2,1,1,0.8,0.1,13:38:12,413,1100,3300,1058,1049,9,1058,45,3,1,49,58,65.78,53.18,73.27,5057.24,4478.64,578.60,14690.297,34320.000,69.703,0.000,14969.866,27744.000,186.134,6180.000,10511.399,38228.400,340.201,0.000,18488.509,15806.788,8205.000,399.703,6180.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23688.000,16928.000,0.000,0.000,0.000,4232.000,4232.000,47777.977,1032.023,0.000,0.000,0.000,135.000,135.000
Exp 5634,3,2,0.2,1,1,0.8,0.1,11:14:48,415,1100,3300,1041,1030,11,1041,44,3,1,30,41,65.78,53.36,72.25,4975.98,4397.55,578.43,6063.289,34320.000,56.711,0.000,11175.434,27840.000,194.566,1230.000,2524.234,37695.000,220.766,0.000,28434.155,5685.142,4691.000,399.703,1230.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15465.400,16650.000,0.000,0.000,0.000,4162.600,4162.000,39193.000,989.000,0.000,0.000,0.000,129.000,129.000
Exp 2766,2,1,0.2,1,2,0.2,0.1,12:13:04,414,1100,3300,1084,1053,31,1084,61,3,1,53,84,65.78,53.32,69.66,5181.52,4603.86,577.66,9552.306,34320.000,107.694,0.000,13865.911,27820.800,238.289,2055.000,7344.305,36345.600,290.095,0.000,23516.813,7811.884,5282.000,399.703,2055.000,4914.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17964.000,17344.000,0.000,0.000,0.000,4336.000,4336.000,42211.000,1403.000,0.000,0.000,0.000,183.000,183.000
Exp 4918,3,1,0.2,1,1,1.0,0.1,11:27:04,415,1100,3300,1037,1037,0,1037,58,3,1,37,37,65.78,53.36,73.53,4956.86,4380.12,576.74,6801.628,34320.000,98.372,0.000,11963.866,27840.000,186.134,1230.000,2632.051,38361.000,226.949,0.000,29206.771,5700.526,4683.000,399.703,1230.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16332.000,16592.000,0.000,0.000,0.000,4148.000,4148.000,39538.000,1334.000,0.000,0.000,0.000,174.000,174.000
Exp 4210,2,3,0.2,1,2,0.4,0.1,13:23:18,414,1100,3300,1085,1062,23,1085,37,5,1,62,85,65.78,53.32,70.61,5186.30,4610.21,576.09,13669.197,34320.000,190.803,0.000,18118.066,27820.800,186.134,2055.000,11049.582,36841.800,288.618,0.000,22651.161,7903.736,5282.000,399.703,2055.000,9888.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22140.000,17360.000,0.000,0.000,0.000,4340.000,4340.000,47115.474,845.526,0.000,0.000,0.000,111.000,108.000
Exp 1310,1,2,0.2,1,1,0.6,0.1,13:37:45,413,1100,3300,1066,1049,17,1066,45,3,1,49,66,65.78,53.18,71.95,5095.48,4520.07,575.41,14630.297,34320.000,69.703,0.000,14909.866,27744.000,186.134,6180.000,11132.399,37541.400,346.201,0.000,18448.364,15794.933,8197.000,399.703,6180.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23442.572,17051.428,0.000,0.000,0.000,4264.000,4262.000,47744.000,1012.000,0.000,0.000,0.000,132.000,132.000
Exp 5642,3,2,0.2,1,2,0.0,0.1,10:51:21,415,1100,3300,1080,1034,46,1080,45,3,1,34,80,65.78,53.36,67.07,5162.40,4587.22,575.18,4683.289,34320.000,56.711,0.000,9803.866,27840.000,186.134,1230.000,3839.310,34992.000,228.690,0.000,26947.474,5775.823,4707.000,399.703,1230.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13140.000,17280.000,0.000,0.000,0.000,4320.000,4320.000,37766.118,1026.882,0.000,0.000,0.000,135.000,132.000
Exp 4206,2,3,0.2,1,2,0.2,0.1,12:13:04,414,1100,3300,1084,1053,31,1084,37,5,1,53,84,65.78,53.32,69.66,5181.52,4607.39,574.13,9552.306,34320.000,107.694,0.000,13865.911,27820.800,238.289,2055.000,7344.305,36345.600,290.095,0.000,23516.813,7811.884,5282.000,399.703,2055.000,4914.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17964.000,17344.000,0.000,0.000,0.000,4336.000,4336.000,42907.000,851.000,0.000,0.000,0.000,111.000,111.000
Exp 3334,2,2,0.1,1,1,1.0,0.1,11:11:20,414,1100,3300,1020,1020,0,1020,43,3,1,20,20,61.17,49.59,70.41,4875.60,4303.17,572.43,7682.126,31460.000,1117.874,0.000,11822.262,25502.400,880.338,2055.000,2844.242,36210.000,1205.758,0.000,22630.344,7932.272,5258.000,2384.384,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15780.000,16320.000,0.000,0.000,0.000,4080.000,4080.000,39023.504,981.496,0.000,0.000,0.000,129.000,126.000
Exp 1306,1,2,0.2,1,1,0.4,0.1,13:37:18,413,1100,3300,1074,1049,25,1074,45,3,1,49,74,65.78,53.18,70.64,5133.72,4561.51,572.21,14630.297,34320.000,69.703,0.000,14909.866,27744.000,186.134,6180.000,11813.399,36857.400,349.201,0.000,18448.364,15794.933,8197.000,399.703,6180.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23244.000,17184.000,0.000,0.000,0.000,4296.000,4296.000,47723.572,1029.428,0.000,0.000,0.000,135.000,132.000
Exp 6358,3,3,0.2,1,1,1.0,0.1,11:27:04,415,1100,3300,1037,1037,0,1037,35,5,1,37,37,65.78,53.36,73.53,4956.86,4384.74,572.12,6801.628,34320.000,98.372,0.000,11963.866,27840.000,186.134,1230.000,2632.051,38361.000,226.949,0.000,29206.771,5700.526,4683.000,399.703,1230.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16332.000,16592.000,0.000,0.000,0.000,4148.000,4148.000,40205.000,805.000,0.000,0.000,0.000,105.000,105.000
Exp 2606,2,1,0.1,1,1,0.6,0.1,10:52:13,414,1100,3300,1056,1032,24,1056,59,3,1,32,56,61.17,49.59,67.54,5047.68,4478.23,569.45,6568.322,31460.000,1091.678,0.000,10636.042,25502.400,926.558,2055.000,3298.056,34734.000,1087.944,0.000,21278.793,8119.823,5282.000,2384.384,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13776.000,16896.000,0.000,0.000,0.000,4224.000,4224.000,37412.706,1353.294,0.000,0.000,0.000,177.000,177.000
Exp 4910,3,1,0.2,1,1,0.6,0.1,11:02:42,415,1100,3300,1060,1036,24,1060,59,3,1,36,60,65.78,53.36,70.91,5066.80,4497.58,569.22,5343.289,34320.000,56.711,0.000,10463.866,27840.000,186.134,1230.000,2465.982,36996.000,258.018,0.000,27597.112,5794.185,4699.000,399.703,1230.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14283.623,16958.000,0.000,0.000,0.000,4240.000,4238.377,38038.000,1334.000,0.000,0.000,0.000,174.000,174.000
Exp 5650,3,2,0.2,1,2,0.4,0.1,12:51:54,415,1100,3300,1061,1041,20,1061,45,3,1,41,61,65.78,53.36,69.33,5071.58,4502.69,568.89,11883.289,34320.000,56.711,0.000,17012.297,27840.000,177.703,1230.000,9615.415,36172.800,471.785,0.000,24168.073,5785.424,4699.000,399.703,1230.000,9977.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20811.346,16966.000,0.000,0.000,0.000,4242.000,4240.654,44984.000,1012.000,0.000,0.000,0.000,132.000,132.000
Exp 4902,3,1,0.2,1,1,0.2,0.1,10:51:14,415,1100,3300,1071,1037,34,1071,60,3,1,37,71,65.78,53.36,68.34,5119.38,4550.89,568.49,4678.419,34320.000,61.581,0.000,9803.866,27840.000,186.134,1230.000,3133.081,35655.000,271.919,0.000,26949.066,5774.231,4707.000,399.703,1230.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13356.000,17136.000,0.000,0.000,0.000,4284.000,4284.000,37324.184,1376.000,0.000,0.000,0.000,180.000,179.816
Exp 4906,3,1,0.2,1,1,0.4,0.1,10:53:13,415,1100,3300,1055,1033,22,1055,59,3,1,33,55,65.78,53.36,69.75,5042.90,4475.43,567.47,4803.289,34320.000,56.711,0.000,9915.434,27840.000,194.566,1230.000,2547.755,36390.000,242.245,0.000,27103.260,5748.037,4699.000,399.703,1230.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13860.000,16880.000,0.000,0.000,0.000,4220.000,4220.000,37472.866,1353.134,0.000,0.000,0.000,177.000,177.000
